SalesID,SalePrice,YearMade,Coupler_System,ProductSize,fiProductClassDesc,Grouser_Tracks,ModelID,saleElapsed,fiSecondaryDesc,fiModelDesc,Hydraulics_Flow
1139623,9.179881164491475,2008,,,Backhoe Loader - 0.0 to 14.0 Ft Standard Digging Depth,,16770,1247097600,D,L2800D,
1142608,11.48246625748552,2004,,Large / Medium,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",,16591,1236211200,,PC400LC7,
1143493,11.512925464970229,2007,,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",,14272,1220486400,C,200CLC,
1187578,11.010398644018933,2004,,,Motorgrader - 45.0 to 130.0 Horsepower,,18221,1233187200,,G86,
1190437,10.146433731146518,2005,,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",,1078,1242864000,,304CR,
1208123,9.433483923290392,2002,Yes,,Skid Steer Loader - Unidentified,None or Unspecified,9578,1285804800,,S185,High Flow
1210686,9.51044496442652,2002,,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",,20090,1296086400,,TB145,
1251785,9.903487552536127,1985,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,6788,642124800,,580,
1259270,9.047821442478408,1977,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3164,968889600,C,580C,
1259348,9.392661928770137,1977,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3164,890870400,C,580C,
1278169,10.621327345686446,1994,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,,3231,1151366400,B,821B,
1281294,9.838949031398556,1988,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,6788,707443200,,580,
1281992,9.51044496442652,1989,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3170,974332800,K,580K,
1283310,9.740968623038354,1989,,,Backhoe Loader - 0.0 to 14.0 Ft Standard Digging Depth,,6752,709344000,,480,
1284001,9.998797732340453,1995,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3178,1028332800,SUPER L,580SUPER L,
1287242,9.9281801651265,1997,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3171,993168000,L,580L,
1291110,9.825526011066415,1997,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3178,1127952000,SUPER L,580SUPER L,
1292443,10.06475570013225,1998,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3171,1171324800,L,580L,
1293324,10.184900011974314,1999,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3171,1084579200,L,580L,
1300596,9.903487552536127,1968,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,4123,1151625600,C,D6C,
1305146,9.51044496442652,1970,,,Motorgrader - 45.0 to 130.0 Horsepower,,3356,785030400,F,12F,
1338707,10.021270588192511,1987,,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",,4101,705024000,B,D4B,
1344251,10.043249494911286,1981,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,7277,804211200,,950,
1344293,10.545341438708522,1982,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,3819,881193600,B,950B,
1344858,10.858998997563564,1994,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,4124,911260800,D,D6D,
1346467,10.275051108968611,1978,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,1605,753408000,D,D6DLGP,
1361490,10.545341438708522,1988,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",,4128,1005868800,H,D6H,
1362207,11.652687407345388,1997,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",,4132,944092800,R,D6R,
1363806,9.581903928408666,1979,,,Wheel Loader - 100.0 to 110.0 Horsepower,,7267,715046400,,930,
1367640,10.896739325546411,1984,,Medium,Wheel Loader - 135.0 to 150.0 Horsepower,,7271,735955200,,936,
1369392,9.491752831414368,1971,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",,4146,816480000,H,D8H,
1376333,11.289781913656018,2001,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,1624,1160092800,M,D6MXL,
1381463,10.404262840448617,1984,,Medium,Wheel Loader - 135.0 to 150.0 Horsepower,,7271,949881600,,936,
1383996,11.225243392518447,1996,,,Motorgrader - 130.0 to 145.0 Horsepower,,23926,1062028800,H,12HNA,
1385688,9.695848187757884,2000,None or Unspecified,,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,None or Unspecified,7014,1044835200,,236,Standard
1386339,10.308952660644293,1997,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3538,954979200,C,416C,
1386451,10.300584410973777,1997,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3538,1106265600,C,416C,
1388682,10.126631103850338,2000,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3538,1088553600,C,416C,
1388764,10.126631103850338,2000,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3538,1087344000,C,416C,
1389276,10.404262840448617,1977,,Large,Wheel Loader - 350.0 to 500.0 Horsepower,,3883,870134400,B,988B,
1389546,10.668955394675699,1978,,Large,Wheel Loader - 350.0 to 500.0 Horsepower,,3883,816480000,B,988B,
1391762,9.210340371976184,1980,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",,7008,992908800,,225,
1395078,9.903487552536127,1989,,Large / Medium,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",,3415,1117670400,C,235C,
1403781,10.126631103850338,1986,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,7110,625968000,,416,
1405468,10.146433731146518,1990,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,7110,760838400,,416,
1413563,10.043249494911286,1998,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3538,1076976000,C,416C,
1416095,10.545341438708522,1978,,,Motorgrader - 130.0 to 145.0 Horsepower,,3357,689904000,G,12G,
1425704,9.95227771670556,1971,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",,4154,861321600,G,D9G,
1425893,10.085809109330082,1973,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",,4154,686880000,G,D9G,
1429790,10.545341438708522,1999,,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",,2752,1086220800,C,D4CIII,
1436916,10.491274217438248,1988,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",,1532,633225600,C,D3CLGP,
1437537,11.461632170582678,1993,,Large / Medium,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",,1276,882144000,,330L,
1438123,9.903487552536127,1997,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",,108,1031788800,C,D3CIII,
1440842,11.184421397998193,2001,,,Wheel Loader - 120.0 to 135.0 Horsepower,,3783,1117065600,G,928G,
1441421,11.112447898373103,1992,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,3823,923443200,F,950F,
1441454,11.350406535472453,1993,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,3823,799372800,F,950F,
1444922,9.648595302907339,1970,,,Motorgrader - 145.0 to 170.0 Horsepower,,3369,718416000,E,14E,
1451896,10.596634733096073,1970,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,3854,614476800,C,966C,
1457275,10.933106969717286,1980,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",,4147,848448000,K,D8K,
1457386,10.126631103850338,1980,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",,4147,801360000,K,D8K,
1457714,10.275051108968611,1980,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",,4147,1056499200,K,D8K,
1468362,10.584055950889214,1991,,Small,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",,4200,835401600,B,E120B,
1475870,9.878169744551839,1974,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,7277,707702400,,950,
1477561,9.51044496442652,1973,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",,4103,763430400,D,D4D,
1482761,10.275051108968611,1985,,,Motorgrader - 45.0 to 130.0 Horsepower,,3350,1079481600,G,120G,
1488573,10.985292722887856,1992,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,1177,967680000,,320L,
1489414,11.608235644774552,1992,,Large / Medium,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",,3416,955065600,D,235D,
1492730,10.404262840448617,1995,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",,13814,1108512000,H,D4HIIIXL,
1499990,9.740968623038354,1994,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3537,1000857600,B,416B,
1502394,10.532096211958502,1977,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",,4155,778982400,H,D9H,
1512473,9.998797732340453,1980,,Small,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",,7001,844473600,,215,
1514200,11.652687407345388,1992,,,Motorgrader - 145.0 to 170.0 Horsepower,,3371,1068163200,G,14G,
1516487,11.018629143155449,1982,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,,3855,677894400,D,966D,
1526711,11.703545824578878,1999,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",,1636,1013385600,R,D6RLGP,
1532452,9.852194258148577,1994,,Mini,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",,7052,1134172800,,307,
1532746,9.852194258148577,1995,,Mini,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",,7052,992304000,,307,
1533201,10.239959789157341,1997,,Mini,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",,7052,949881600,,307,
1537696,11.350406535472453,2001,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,1625,1159920000,N,D6NLGP,
1544074,11.302204433654575,2002,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,1169,1114041600,C,320CL,
1573588,10.896739325546411,2005,,Medium,Wheel Loader - 135.0 to 150.0 Horsepower,,3786,1265241600,G,930G,
1582084,10.819778284410283,1993,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,1937,920678400,E,790ELC,
1594459,9.210340371976184,1976,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,8298,611884800,,750,
1601084,10.46310334047155,2002,,Small,"Hydraulic Excavator, Track - 14.0 to 16.0 Metric Tons",,4572,1307404800,,160LC,
1601604,9.648595302907339,2002,None or Unspecified,,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,None or Unspecified,8016,1203638400,,260,Standard
1602726,10.915088464214607,2002,,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",,14272,1203638400,C,200CLC,
1604056,9.903487552536127,1989,,,Backhoe Loader - 16.0 + Ft Standard Digging Depth,,4685,929491200,C,510C,
1609023,11.03488966402723,1996,,,Wheel Loader - 120.0 to 135.0 Horsepower,,4700,944006400,G,544G,
1614166,11.156250521031495,2006,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",,14287,1288137600,D,240DLC,
1616080,9.546812608597396,1984,,,Backhoe Loader - 16.0 + Ft Standard Digging Depth,,8227,661046400,,610,
1616519,9.392661928770137,1984,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,8050,735609600,,310,
1621119,9.878169744551839,1989,,,Backhoe Loader - 16.0 + Ft Standard Digging Depth,,4793,982713600,C,710C,
1624242,10.308952660644293,1993,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,4603,845942400,D,310D,
1626885,10.106428396532818,2000,,Large / Medium,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",,14308,1245196800,,330LC,
1627959,10.545341438708522,1996,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",,4763,987724800,G,650G,
1632960,10.915088464214607,1998,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",,4841,1151366400,C,850C,
1633697,10.043249494911286,1999,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,4604,1119916800,E,310E,
1634084,10.126631103850338,1999,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,4604,1174521600,E,310E,
1641674,10.691944912900398,2002,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",,4764,1186531200,H,650H,
1641904,9.903487552536127,2004,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",,4666,1236124800,H,450H,
1654893,9.350102314351341,1984,,,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",,8554,780969600,,FD5,
1656396,10.126631103850338,1988,,Medium,Wheel Loader - 225.0 to 250.0 Horsepower,,4979,829180800,B,FR20B,
1676248,10.691944912900398,1995,,,Motorgrader - 145.0 to 170.0 Horsepower,,8636,1210118400,,850,
1689159,10.714417768752456,1999,,Large / Medium,"Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons",,11618,1160179200,,EX330LC5,
1690009,9.350102314351341,1996,,Mini,"Hydraulic Excavator, Track - 5.0 to 6.0 Metric Tons",,22982,1082592000,UR,EX55UR,
1691547,10.63344870621879,1999,,Small,"Hydraulic Excavator, Track - 8.0 to 11.0 Metric Tons",,2797,1107043200,,EX120-5,
1693673,9.615805480084347,1985,,,Motorgrader - 45.0 to 130.0 Horsepower,,15384,1052956800,A,M850A,
1697759,8.656955133791396,2001,None or Unspecified,,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,None or Unspecified,15500,1044835200,,HSL610,Standard
1697840,10.571316925111784,1999,,Mini,"Hydraulic Excavator, Track - 0.0 to 2.0 Metric Tons",,15571,1187827200,,R290,
1711333,10.596634733096073,2006,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,15934,1252540800,ZX,436ZX,
1723654,11.156250521031495,2007,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,2144,1286928000,,SK210LC,
1724089,10.165851817003619,1998,,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",,11862,1107475200,LC,SK200LC,
1725808,10.404262840448617,1981,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,8944,612662400,,266,
1726912,10.106428396532818,1984,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",,218,878688000,A,D41A-3,
1729649,10.757902880692196,1989,,,Wheel Loader - 120.0 to 135.0 Horsepower,,9109,731894400,,WA250,
1734200,9.811920359010637,1986,,,"Track Type Tractor, Dozer - Unidentified",,8991,734140800,,D37,
1734743,10.126631103850338,1987,,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",,208,837475200,P,D37P-2,
1736453,10.257659366256743,1995,,Small,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",,337,1139616000,UU,PC128UU-1,
1737586,10.021270588192511,1985,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,2245,1077321600,,PC220LC3,
1744739,9.740968623038354,1982,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",,11916,665712000,A,D45A,
1753829,10.950806546816688,1993,,Large,"Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower",,259,929491200,EX,D65EX-12,
1759922,9.975808214115753,1985,,Medium,"Track Type Tractor, Dozer - 105.0 to 130.0 Horsepower",,235,796435200,P,D53P-17,
1767715,10.933106969717286,1995,,,Wheel Loader - 100.0 to 110.0 Horsepower,,583,830476800,,WA180-1,
1769175,10.657259354912508,1999,,Large / Medium,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",,460,1176249600,,PC300LC6,
1787877,9.798127036878302,1997,,Compact,Wheel Loader - 60.0 to 80.0 Horsepower,,17184,1002931200,,MF640,
1788908,8.612503371220562,1981,None or Unspecified,,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,None or Unspecified,9559,815011200,,825,Standard
1789306,8.699514748210191,1984,None or Unspecified,,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,None or Unspecified,9560,872726400,,843,Standard
1789899,9.210340371976184,2001,,Mini,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",,9506,1181779200,,325,
1792805,9.104979856318357,1990,None or Unspecified,,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,None or Unspecified,9548,860025600,,743,Standard
1794886,8.860782895806315,1986,None or Unspecified,,Skid Steer Loader - 976.0 to 1251.0 Lb Operating Capacity,None or Unspecified,5501,774921600,B,642B,Standard
1801740,9.104979856318357,1998,None or Unspecified,,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,None or Unspecified,9550,973814400,,753,Standard
1801905,8.987196820661973,1997,None or Unspecified,,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,None or Unspecified,9550,960940800,,753,Standard
1802532,9.491752831414368,2000,,Mini,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",,9508,1124236800,,331,
1803280,9.328123407632566,1999,,Mini,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",,9506,1116028800,,325,
1805476,9.581903928408666,2000,None or Unspecified,,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,None or Unspecified,9563,1172188800,,863,Standard
1806887,8.955448122347393,1998,None or Unspecified,,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,None or Unspecified,9550,1080950400,,753,Standard
1808150,9.852194258148577,2000,,,"Hydraulic Excavator, Track - Unidentified (Compact Construction)",,12127,1177372800,,X334,
1809875,8.699514748210191,2005,None or Unspecified,,Skid Steer Loader - 0.0 to 701.0 Lb Operating Capacity,None or Unspecified,9518,1191974400,,463,Standard
1811437,9.350102314351341,2004,None or Unspecified,,Skid Steer Loader - 2701.0+ Lb Operating Capacity,None or Unspecified,17318,1184112000,,T250,Standard
1812269,9.472704636443673,2003,None or Unspecified,,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,None or Unspecified,36033,1165190400,,S150,Standard
1822522,9.528794103094718,1988,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,,5640,796694400,A,655A,
1845370,9.104979856318357,1988,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,18320,1158796800,B,MD240BLC,
1853320,8.779557455883728,2000,None or Unspecified,,Skid Steer Loader - 0.0 to 701.0 Lb Operating Capacity,None or Unspecified,18652,1060732800,DX,RL20DX,Standard
1883604,9.047821442478408,1999,,Mini,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",,20096,1157500800,,TB25,
1884469,10.043249494911286,2000,,Mini,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",,20090,1045699200,,TB145,
1897015,9.615805480084347,1997,None or Unspecified,,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,None or Unspecified,11039,913680000,,1700,Standard
2199717,9.998797732340453,1996,,Small,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",,3253,1206403200,B,9010B,
2204319,10.239959789157341,1994,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,,3231,1273104000,B,821B,
2206244,8.987196820661973,1989,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3170,1236124800,K,580K,
2207630,9.878169744551839,1997,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3171,1238544000,L,580L,
2226265,11.042921835724492,1998,,Medium,Wheel Loader - 175.0 to 200.0 Horsepower,,3824,1208908800,G,950G,
2227015,9.615805480084347,1997,,Mini,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",,7052,1181001600,,307,
2238083,9.648595302907339,2003,,Mini,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",,7040,1212624000,,302.5,
2244687,9.740968623038354,1994,,,Backhoe Loader - 16.0 + Ft Standard Digging Depth,,3567,1244592000,B,446B,
2249402,9.51044496442652,1994,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,,3546,1271721600,B,426B,
2249406,10.239959789157341,1994,,,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,,3546,1202688000,B,426B,
2251713,10.308952660644293,1981,,Medium,Wheel Loader - 275.0 to 350.0 Horsepower,,3877,1174435200,C,980C,
2279166,11.326595886778735,1998,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",,1636,1197331200,R,D6RLGP,
2292478,10.021270588192511,2001,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3539,1241481600,D,416D,
2296931,10.915088464214607,2005,,Small,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",,23162,1222732800,C,312CL,
2297769,9.350102314351341,2003,None or Unspecified,,Skid Steer Loader - 2701.0+ Lb Operating Capacity,None or Unspecified,7026,1207267200,,262,Standard
2303794,11.225243392518447,2004,,Large / Medium,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",,1269,1268870400,C,330CL,
2308679,11.56171562913966,2006,,Medium,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",,1630,1251244800,R,D6RIIIXL,
2316299,11.289781913656018,2005,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,1169,1225929600,C,320CL,
2317006,9.903487552536127,2006,None or Unspecified,,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,None or Unspecified,3423,1248307200,B,246B,Standard
2317467,9.680344001221918,2006,None or Unspecified,,Skid Steer Loader - 2701.0+ Lb Operating Capacity,None or Unspecified,3433,1202688000,B,262B,Standard
2318841,10.858998997563564,2004,,Medium,Wheel Loader - 150.0 to 175.0 Horsepower,,75,1234137600,G,938GII,
2335682,10.545341438708522,2001,,Medium,"Track Type Tractor, Dozer - 105.0 to 130.0 Horsepower",,1910,1245110400,H,700HLGP,
2335928,10.757902880692196,2002,,Medium,"Track Type Tractor, Dozer - 105.0 to 130.0 Horsepower",,1910,1245110400,H,700HLGP,
2336351,10.308952660644293,2004,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",,1893,1258502400,H,650HLGP,
2338142,10.292145542327912,1997,,,Wheel Loader - 120.0 to 135.0 Horsepower,,4700,1231891200,G,544G,
2343348,10.799575577092764,2002,,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",,14272,1205280000,C,200CLC,
2345880,9.28266103355581,2001,None or Unspecified,,Skid Steer Loader - 2701.0+ Lb Operating Capacity,None or Unspecified,22067,1214006400,,280,Standard
2370102,10.06475570013225,2001,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",,11608,1233100800,,EX270LC5,
2371914,10.043249494911286,2000,,Small,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",,25359,1229385600,,EX120-5E,
2373822,11.225243392518447,2006,,Large / Medium,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",,15313,1252540800,,ZX350LC3,
2396490,10.645424897265505,2006,,Large / Medium,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",,2150,1269388800,,SK235SRLC,
2397943,10.4341158035983,2002,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",,216,1196812800,PX,D39PX-21,
2410497,11.703545824578878,2002,,Large,"Track Type Tractor, Dozer - 260.0 + Horsepower",,137,1202688000,AX,D155AX-5,
2414981,10.373491181781864,1997,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,415,1209600000,,PC220LC6,
2432538,9.433483923290392,2003,None or Unspecified,,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,None or Unspecified,17313,1247702400,,S220,Standard
2440085,11.002099841204238,2005,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",,26360,1201996800,LGP,DC95LGP,
2503520,10.404262840448617,2005,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,3172,1301529600,M,580M,
2554828,10.043249494911286,2001,,,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",,13792,1284595200,C,D4CIIIXL,
2586443,11.736069016284437,2008,,Medium,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",,1627,1302739200,N,D6NXL,
2609443,10.621327345686446,2006,,,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",,1580,1297728000,G,D5GLGP,
2632645,9.615805480084347,1989,,Small,"Hydraulic Excavator, Track - 8.0 to 11.0 Metric Tons",,4674,1300320000,D,490D,
2688304,10.46310334047155,2000,,Large / Medium,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",,2144,1302912000,,SK210LC,
2758901,9.546812608597396,2006,None or Unspecified,,Skid Steer Loader - 2701.0+ Lb Operating Capacity,None or Unspecified,18605,1284595200,,CTL70,Standard
2782223,10.021270588192511,2001,,Mini,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",,20093,1302048000,,TB175,
4263474,9.711115659888671,2000,,Small,"Hydraulic Excavator, Track - 8.0 to 11.0 Metric Tons",,1094,1314057600,B,308BSR,
4310432,8.987196820661973,1994,,,Backhoe Loader - 0.0 to 14.0 Ft Standard Digging Depth,,4578,1255392000,C,210C,
4313020,10.085809109330082,1995,,Large / Medium,"Hydraulic Excavator, Track - 19.0 to 21.0 Metric Tons",,1907,1311206400,E,690ELC,
4318979,9.159047077588632,2004,,Compact,Wheel Loader - 60.0 to 80.0 Horsepower,,4579,1258675200,LE,210LE,
4319056,9.648595302907339,2004,,Compact,Wheel Loader - 60.0 to 80.0 Horsepower,,4579,1273622400,LE,210LE,
4319373,10.085809109330082,2005,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,4605,1317600000,G,310G,
4349807,10.126631103850338,2005,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,5162,1269388800,E,214E,
6275503,10.950806546816688,2005,,,Wheel Loader - 120.0 to 135.0 Horsepower,,3775,1313625600,G,924G,
6284229,11.258033215341438,1999,,,Motorgrader - 145.0 to 170.0 Horsepower,,1932,1323993600,C,770CH,
6286226,10.126631103850338,2004,,,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,,4605,1309219200,G,310G,
6295209,9.047821442478408,2005,,,Backhoe Loader - 0.0 to 14.0 Ft Standard Digging Depth,,16017,1320192000,,MINI CX,
